material,species,dir,nx,ny,nz,e_d_eV
W,W,0,-0.4161,0.83167,-0.36767,188.87
W,W,1,-0.31355,-0.92554,-0.21227,49.65
W,W,2,0.70445,0.26872,0.65691,236.56
W,W,3,0.49569,0.78618,0.36908,217.23
W,W,4,-0.85879,0.44085,0.26102,257.19
W,W,5,0.20113,-0.68199,-0.70316,89.61
W,W,6,-0.84671,-0.44561,0.29071,210.78
W,W,7,-0.05543,0.62901,-0.77542,170.82
W,W,8,0.37224,0.47528,-0.79721,195.31
W,W,9,0.79287,0.25695,0.55258,142.46
