sample,image,mag,tier,um_per_px,gray_phase_pct,dark_area_pct,n_features,density_per_mm2,d10_um,d25_um,d50_um,d75_um,d90_um,diam_area_weighted_um,diam_max_um,feret_max_um,aspect_median,pore_density_per_mm2,pore_area_pct,pullout_area_fraction,alignment_index
VC-SiC-40pct,Image1,IC10,regional,0.161,30.90114019777398,1.4405325255440375,291,620.3878121300327,2.2979518616047696,2.8953281556200774,3.8236910847913053,5.041110374572148,6.697159831070924,13.856996279338004,38.7879367214951,68.03921717656664,1.6752127898372384,57.56175576464221,0.07393425040760822,0.0785611256885943,0.6513134024645839
VC-SiC-40pct,Image1,IC5,global,0.3247,11.301915891238457,3.167479451594535,1333,698.6949310400724,1.7571193685230113,2.0399437623578263,2.7661439420609106,4.576143630580885,8.154832216241244,58.38852640629912,149.7545703470028,184.62271825807355,1.5320093466161864,482.22005743200805,0.6131309527598877,0.034066028008604615,0.39456223402619367
VC-SiC-40pct,Image1,IC50,particle,0.03256,22.58556788400938,3.7977027607719975,69,3596.6842956668097,1.6436374804568614,1.7904873726604975,2.1648574962131644,3.4984144921306832,6.332109195769103,6.302861676750134,11.763293339970694,17.54343556611418,1.480144208135164,521.2585935748999,0.1384574814233219,0.15605514933246023,0.18676040157178725
VC-SiC-40pct,Image2,IC10,regional,0.161,10.329585725047481,1.7157399105914475,549,1170.4223672143917,1.742508274297535,1.9396946190715532,2.4709661701912937,3.6919512787603392,5.962440849593271,13.246457747009662,41.054390818858636,56.07332075060296,1.552832157350794,748.3028249403487,0.47433637669011514,0.0534628974126908,0.3463139592221731
VC-SiC-40pct,Image2,IC5,global,0.3247,10.088612788110925,2.969726469246358,1206,632.1275970250018,1.7184966440018785,1.9730420760836882,2.6292739902104234,3.911918278338716,7.235494600759365,41.473099784085335,93.43528620460752,171.32748654891893,1.5063612412715446,456.0124456150511,0.49009140680537727,0.05059211456728373,0.32459790618989554
VC-SiC-40pct,Image2,IC50,particle,0.03256,36.57818982164267,0.8244727176592501,28,1459.5240620097197,1.682904722829571,1.7429089080098958,1.830556394833566,2.3981806395820584,3.5810389782998477,4.147744275230715,7.515917389249394,14.427423811062042,1.362080282149475,573.3844529323899,0.147194311522315,0.0,0.0
VC-SiC-40pct-Cf-100pct,Image1,IC10,regional,0.161,29.821519989602013,8.59857708481434,261,556.4303057248746,1.742508274297535,2.1186069348784122,3.1934503991569634,13.893822492618071,20.22409795933852,35.466963727039804,62.50471305184396,300.5785057717867,2.39050068996787,127.91501281031603,0.06414192723530224,0.629950089396921,0.31172541646770446
VC-SiC-40pct-Cf-100pct,Image1,IC5,global,0.3247,21.09377486763785,10.429724939610322,1279,670.390710277759,1.9037908273785369,2.741772154721702,5.699608571639189,10.472449984336485,16.423599823652214,125.21156991819166,301.06258118508003,669.0737976957847,2.081309374917054,170.87362904655936,0.15789844808256145,0.2880785315652746,0.22709353716316957
VC-SiC-40pct-Cf-100pct,Image1,IC50,particle,0.03256,28.312618038387676,5.774679970079258,8,417.00687485991995,1.6246363705897902,1.6862898631878895,1.9423179619287256,6.287656690121307,19.83661153083049,31.180745473401036,34.60233665638948,117.93325939990295,2.2578008910036123,0.0,0.0,0.8507370989736598,0.553841868875876
VC-SiC-40pct-Cf-100pct,Image2,IC10,regional,0.161,13.682268291087086,9.216101320261577,587,1251.4352086609251,1.8039232303239323,2.247121995482057,3.6560190244072124,6.980673986873288,13.559611677931503,29.63590678305961,69.4318083775582,320.30151868669,2.161570802312376,243.03852433960043,0.09793428400655002,0.7145829535751633,0.2740945246659046
VC-SiC-40pct-Cf-100pct,Image2,IC5,global,0.3247,19.373442733256233,8.340169170672015,660,345.94047598383185,1.9037908273785369,2.8790761278855572,8.670023640325642,16.108417726435487,24.5422945949491,48.37918754721288,132.77996421031057,598.8582511781732,2.763120951163764,71.80885637846207,0.052829915083095494,0.7031773345321858,0.18318091051236438
VC-SiC-40pct-Cf-100pct,Image2,IC50,particle,0.03256,16.41987470247253,10.77554536387654,60,3127.5515614493997,1.786292298512482,1.9958896610820753,2.593357329578146,4.7438475613838875,8.526339870723914,16.973655869306516,25.826095231944038,96.45582775205654,2.2155990276778916,0.0,0.0,0.7763172065344152,0.5063513890179979
WC-SiC-40pct-Cf-100pct,Image1,IC10,regional,0.161,16.215650608140848,9.923187734971547,1339,2854.636702550219,1.8257513155265959,2.1686411745013707,2.866689190953731,4.4555201652560745,8.99616674436295,24.762492997858118,78.22239613152044,428.33891904425406,1.6454610314348797,1626.6525795711855,1.0802999236066164,0.4435219841386081,0.23003618601971704
WC-SiC-40pct-Cf-100pct,Image1,IC5,global,0.3247,26.442886661927446,10.707993807184515,4252,2228.6953089140197,1.8319235777795646,2.3460068524010063,3.475830603088829,5.986775581623849,12.337430573853116,19.514022011806343,62.126792186042906,255.5865484801577,1.717118501721596,1192.4463376715416,1.1232546233912295,0.2330017371128008,0.15792746342815717
