material,species,dir,nx,ny,nz,e_d_eV
Fe,Fe,0,-0.4161,0.83167,-0.36767,83.48
Fe,Fe,1,-0.31355,-0.92554,-0.21227,37.54
Fe,Fe,2,0.70445,0.26872,0.65691,35.62
Fe,Fe,3,0.49569,0.78618,0.36908,43.28
Fe,Fe,4,-0.85879,0.44085,0.26102,83.48
Fe,Fe,5,0.20113,-0.68199,-0.70316,100.7
Fe,Fe,6,-0.84671,-0.44561,0.29071,98.79
Fe,Fe,7,-0.05543,0.62901,-0.77542,62.42
Fe,Fe,8,0.37224,0.47528,-0.79721,45.2
Fe,Fe,9,0.79287,0.25695,0.55258,79.65
